,Planet Name,Detection Method,Orbital Period,Orbit Semi-Major Axis,Planet Radius,Planet Mass,Insolation Flux,Stellar Effective Temperature,Stellar Radius,RA [degree],Dec [degree],Habitable Zone Flag,Planet Classification
0,11 Com b,Radial Velocity,326.03,1.29,12.1,6165.6,,4742.0,19.0,185.1787793,17.7932516,FALSE,Jovians
1,11 UMi b,Radial Velocity,516.21997,1.53,12.3,4684.8142,,4213.0,29.79,229.2745954,71.8239428,FALSE,Jovians
2,14 And b,Radial Velocity,185.84,0.83,12.9,1525.5,,4813.0,11.0,352.82415,39.2358367,FALSE,Jovians
3,14 Her b,Radial Velocity,1773.40002,2.93,12.9,1481.0878,,5338.0,0.93,242.6021014,43.8163621,FALSE,Jovians
4,16 Cyg B b,Radial Velocity,798.5,1.66,13.5,565.7374,,5750.0,1.13,295.4656422,50.5168243,TRUE,Jovians
5,18 Del b,Radial Velocity,993.3,2.6,12.5,3273.5,,4979.0,8.5,314.6078375,10.8391378,FALSE,Jovians
6,1RXS J160929.1-210524 b,Imaging,,330.0,18.647,3000.0,,4060.0,1.31,242.3762343,-21.0831403,FALSE,
7,24 Boo b,Radial Velocity,30.3506,0.19,13.9,289.2253,,4893.0,10.64,217.1555242,49.8446488,FALSE,Jovians
8,24 Sex b,Radial Velocity,452.8,1.333,13.4,632.46,,5098.0,4.9,155.8684866,-0.9023998,FALSE,Jovians
9,24 Sex c,Radial Velocity,883.0,2.08,13.9,273.32,,5098.0,4.9,155.8684866,-0.9023998,FALSE,Jovians
10,2MASS J01033563-5515561 AB b,Imaging,,84.0,12.3,4131.79,,,,15.8992489,-55.2658291,,Jovians
11,2MASS J01225093-2439505 b,Imaging,,52.0,11.209,7786.5,,3530.0,0.37,20.7128012,-24.6646128,FALSE,Jovians
12,2MASS J02192210-3925225 b,Imaging,,156.0,16.141,4417.837,,3064.0,0.28,34.8427046,-39.4230767,FALSE,
13,2MASS J04414489+2301513 b,Imaging,,15.0,12.6,2383.6,,2936.0,0.23,70.4371079,23.0308544,FALSE,Jovians
14,2MASS J12073346-3932539 b,Imaging,,55.0,12.9,1589.15,,2825.0,0.22,181.8890906,-39.5484399,FALSE,Jovians
15,2MASS J19383260+4603591 b,Eclipse Timing Variations,416.0,0.92,13.4,603.877,,10868.0,0.34,294.6359173,46.0664076,FALSE,Jovians
16,2MASS J21402931+1625183 A b,Imaging,7336.5,,10.31,6657.48,,2300.0,0.12,325.1218214,16.4213408,,Jovians
17,2MASS J22362452+4751425 b,Imaging,,230.0,12.3,3972.875,,4045.0,0.64,339.1025931,47.861683,FALSE,Jovians
18,30 Ari B b,Radial Velocity,335.10001,0.99,12.3,4392.4106,,6331.0,1.41,39.2412736,24.6480103,FALSE,Jovians
19,4 UMa b,Radial Velocity,269.3,0.87,12.7,2256.5,,4415.0,18.11,130.0528099,64.3280504,FALSE,Jovians
20,42 Dra b,Radial Velocity,479.1,1.19,13.0,1233.13,,4200.0,22.03,276.4975053,65.5633652,FALSE,Jovians
21,47 UMa b,Radial Velocity,1078.0,2.1,13.2,804.08,,5872.0,1.21,164.8647611,40.4304931,TRUE,Jovians
22,47 UMa c,Radial Velocity,2391.0,3.6,14.2,171.621,,5872.0,1.21,164.8647611,40.4304931,FALSE,Jovians
23,47 UMa d,Radial Velocity,14002.0,11.6,13.5,521.22,,5872.0,1.21,164.8647611,40.4304931,FALSE,Jovians
24,51 Eri b,Imaging,11688.0,12.0,13.4,635.66,,7295.0,1.49,69.4007424,-2.4738245,FALSE,Jovians
25,51 Peg b,Radial Velocity,4.230785,0.0527,14.3,146.2018,,5758.0,1.18,344.3675399,20.7690958,FALSE,Jovians
26,55 Cnc b,Radial Velocity,14.6516,0.1134,13.9,263.9785,,5172.0,0.94,133.1468373,28.3298154,FALSE,Jovians
27,55 Cnc c,Radial Velocity,44.3989,0.2373,8.51,54.4738,,5172.0,0.94,133.1468373,28.3298154,FALSE,Jovians
