# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 20 06:02:50 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
11 Com b,11 Com,2,Radial Velocity,326.03000000,1.290000,12.100,6165.60000,,,4742.00,19.00,2.70,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000
11 UMi b,11 UMi,1,Radial Velocity,516.21997000,1.530000,12.300,4684.81420,,,4213.00,29.79,2.78,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000
14 And b,14 And,1,Radial Velocity,185.84000000,0.830000,12.900,1525.50000,,,4813.00,11.00,2.20,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000
14 Her b,14 Her,1,Radial Velocity,1773.40002000,2.930000,12.900,1481.08780,,,5338.00,0.93,0.90,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
16 Cyg B b,16 Cyg B,3,Radial Velocity,798.50000000,1.660000,13.500,565.73740,,,5750.00,1.13,1.08,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000
18 Del b,18 Del,2,Radial Velocity,993.30000000,2.600000,12.500,3273.50000,,,4979.00,8.50,2.30,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,,330.000000,18.647,3000.00000,,1700,4060.00,1.31,0.85,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000
24 Boo b,24 Boo,1,Radial Velocity,30.35060000,0.190000,13.900,289.22530,,,4893.00,10.64,0.99,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000
24 Sex b,24 Sex,1,Radial Velocity,452.80000000,1.333000,13.400,632.46000,,,5098.00,4.90,1.54,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000
24 Sex c,24 Sex,1,Radial Velocity,883.00000000,2.080000,13.900,273.32000,,,5098.00,4.90,1.54,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000
